SYSTEM:Time.1(s)	Veh_SIP:vehicle.acc.x.2(m_s2)	Veh_SIP:vehicle.acc.y.3(m_s2)	Veh_SIP:vehicle.acc.z.4(m_s2)	Veh_SIP:vehicle.z.5(mm)
0.000	0.004	0.001	-0.002	1285.440
0.010	0.507	0.011	-0.744	1285.426
0.020	1.341	0.031	-1.100	1285.341
0.030	1.823	0.041	-1.061	1285.149
0.040	1.628	0.033	-0.733	1284.853
0.050	1.000	0.012	-0.295	1284.485
0.060	0.522	-0.009	0.067	1284.087
0.070	0.642	-0.018	0.218	1283.694
0.080	1.313	-0.013	0.116	1283.319
0.090	2.043	0.001	-0.183	1282.955
0.100	2.171	0.015	-0.543	1282.572
0.110	1.262	0.027	-0.785	1282.136
0.120	-0.533	0.037	-0.745	1281.625
0.130	-2.419	0.044	-0.340	1281.042
0.140	-3.463	0.046	0.392	1280.428
0.150	-3.217	0.035	1.282	1279.856
0.160	-1.991	0.011	2.077	1279.412
0.170	-0.519	-0.020	2.519	1279.173
0.180	0.535	-0.051	2.432	1279.183
0.190	0.882	-0.069	1.784	1279.430
0.200	0.611	-0.074	0.711	1279.852
0.210	0.108	-0.073	-0.511	1280.342
0.220	-0.216	-0.070	-1.558	1280.783
0.230	-0.208	-0.060	-2.163	1281.073
0.240	-0.023	-0.044	-2.196	1281.153
0.250	0.026	-0.020	-1.704	1281.017
0.260	-0.232	0.006	-0.887	1280.713
0.270	-0.668	0.027	-0.023	1280.320
0.280	-0.952	0.039	0.624	1279.924
0.290	-0.808	0.045	0.889	1279.588
0.300	-0.255	0.046	0.747	1279.338
0.310	0.412	0.044	0.301	1279.160
0.320	0.802	0.040	-0.267	1279.013
0.330	0.631	0.035	-0.745	1278.842
0.340	-0.108	0.029	-0.964	1278.601
0.350	-1.154	0.025	-0.846	1278.267
0.360	-2.164	0.021	-0.411	1277.852
0.370	-2.836	0.019	0.225	1277.400
0.380	-3.001	0.016	0.899	1276.976
0.390	-2.697	0.006	1.449	1276.642
0.400	-2.070	-0.014	1.736	1276.454
0.410	-1.261	-0.043	1.690	1276.437
0.420	-0.372	-0.077	1.315	1276.588
0.430	0.485	-0.105	0.694	1276.870
0.440	1.117	-0.124	-0.036	1277.220
0.450	1.358	-0.136	-0.705	1277.567
0.460	1.229	-0.133	-1.162	1277.845
0.470	0.944	-0.109	-1.312	1278.009
0.480	0.775	-0.066	-1.149	1278.045
0.490	0.855	-0.015	-0.751	1277.971
0.500	1.145	0.033	-0.242	1277.822
0.510	1.481	0.071	0.229	1277.647
0.520	1.673	0.097	0.529	1277.492
0.530	1.649	0.114	0.588	1277.388
0.540	1.486	0.121	0.415	1277.339
0.550	1.330	0.115	0.078	1277.331
0.560	1.271	0.099	-0.315	1277.331
0.570	1.261	0.080	-0.645	1277.301
0.580	1.131	0.066	-0.822	1277.208
0.590	0.704	0.064	-0.799	1277.035
0.600	-0.054	0.057	-0.578	1276.784
0.610	-0.917	0.045	-0.207	1276.477
0.620	-1.525	0.020	0.238	1276.150
0.630	-1.598	-0.015	0.658	1275.846
0.640	-1.108	-0.051	0.958	1275.607
0.650	-0.271	-0.087	1.066	1275.461
0.660	0.586	-0.120	0.952	1275.420
0.670	1.143	-0.140	0.643	1275.473
0.680	1.240	-0.139	0.217	1275.588
0.690	0.974	-0.119	-0.211	1275.725
0.700	0.609	-0.086	-0.524	1275.841
0.710	0.394	-0.043	-0.640	1275.906
0.720	0.377	-0.000	-0.544	1275.909
0.730	0.453	0.037	-0.284	1275.859
0.740	0.457	0.067	0.047	1275.779
0.750	0.290	0.092	0.327	1275.702
0.760	-0.002	0.110	0.456	1275.654
0.770	-0.256	0.117	0.384	1275.648
0.780	-0.342	0.114	0.125	1275.681
0.790	-0.285	0.107	-0.239	1275.727
0.800	-0.284	0.101	-0.591	1275.749
0.810	-0.563	0.095	-0.816	1275.714
0.820	-1.211	0.084	-0.833	1275.600
0.830	-2.077	0.061	-0.613	1275.409
0.840	-2.824	0.023	-0.192	1275.161
0.850	-3.095	-0.026	0.336	1274.899
0.860	-2.737	-0.077	0.840	1274.675
0.870	-1.885	-0.120	1.185	1274.538
0.880	-0.881	-0.145	1.275	1274.520
0.890	-0.087	-0.151	1.081	1274.630
0.900	0.296	-0.141	0.655	1274.846
0.910	0.303	-0.120	0.118	1275.126
0.920	0.161	-0.104	-0.381	1275.418
0.930	0.104	-0.090	-0.709	1275.673
0.940	0.221	-0.065	-0.795	1275.860
0.950	0.444	-0.024	-0.644	1275.969
0.960	0.622	0.026	-0.338	1276.014
0.970	0.653	0.069	-0.005	1276.024
0.980	0.567	0.097	0.229	1276.031
0.990	0.487	0.105	0.281	1276.059
1.000	0.524	0.098	0.131	1276.113
1.010	0.670	0.090	-0.163	1276.178
1.020	0.791	0.091	-0.493	1276.227
1.030	0.717	0.098	-0.737	1276.226
1.040	0.384	0.095	-0.805	1276.154
1.050	-0.129	0.068	-0.651	1276.005
1.060	-0.595	0.014	-0.291	1275.792
1.070	-0.747	-0.054	0.186	1275.551
1.080	-0.451	-0.109	0.654	1275.329
1.090	0.215	-0.131	0.981	1275.170
1.100	0.986	-0.119	1.072	1275.107
1.110	1.557	-0.090	0.899	1275.149
1.120	1.775	-0.067	0.516	1275.279
1.130	1.683	-0.068	0.031	1275.460
1.140	1.479	-0.083	-0.418	1275.645
1.150	1.373	-0.088	-0.710	1275.791
1.160	1.440	-0.059	-0.775	1275.868
1.170	1.586	0.001	-0.622	1275.869
1.180	1.642	0.065	-0.325	1275.807
1.190	1.506	0.103	-0.006	1275.712
1.200	1.233	0.103	0.221	1275.614
1.210	0.978	0.078	0.281	1275.535
1.220	0.865	0.055	0.160	1275.482
1.230	0.889	0.054	-0.090	1275.443
1.240	0.898	0.075	-0.372	1275.393
1.250	0.711	0.096	-0.577	1275.307
1.260	0.255	0.096	-0.628	1275.165
1.270	-0.390	0.065	-0.483	1274.963
1.280	-0.995	0.013	-0.162	1274.714
1.290	-1.307	-0.039	0.258	1274.450
1.300	-1.200	-0.066	0.668	1274.214
1.310	-0.748	-0.064	0.957	1274.045
1.320	-0.179	-0.045	1.047	1273.971
1.330	0.269	-0.028	0.914	1273.999
1.340	0.485	-0.024	0.600	1274.116
1.350	0.483	-0.033	0.189	1274.291
1.360	0.388	-0.042	-0.210	1274.487
1.370	0.336	-0.040	-0.496	1274.663
1.380	0.399	-0.022	-0.602	1274.793
1.390	0.532	0.009	-0.520	1274.862
1.400	0.622	0.038	-0.307	1274.879
1.410	0.594	0.051	-0.055	1274.864
1.420	0.474	0.043	0.142	1274.841
1.430	0.363	0.022	0.220	1274.830
1.440	0.347	0.005	0.159	1274.837
1.450	0.430	0.001	-0.012	1274.860
1.460	0.514	0.013	-0.221	1274.881
1.470	0.459	0.028	-0.382	1274.881
1.480	0.210	0.033	-0.424	1274.844
1.490	-0.156	0.023	-0.317	1274.766
1.500	-0.464	0.000	-0.076	1274.659
1.510	-0.521	-0.021	0.240	1274.543
1.520	-0.232	-0.030	0.541	1274.451
1.530	0.323	-0.024	0.734	1274.411
1.540	0.921	-0.012	0.757	1274.444
1.550	1.346	-0.007	0.601	1274.549
1.560	1.519	-0.012	0.304	1274.713
1.570	1.507	-0.025	-0.056	1274.907
1.580	1.471	-0.035	-0.382	1275.096
1.590	1.545	-0.035	-0.591	1275.249
1.600	1.744	-0.021	-0.638	1275.345
1.610	1.962	-0.001	-0.528	1275.378
1.620	2.069	0.011	-0.316	1275.357
1.630	1.996	0.008	-0.078	1275.304
1.640	1.803	-0.009	0.102	1275.241
1.650	1.631	-0.029	0.167	1275.186
1.660	1.592	-0.034	0.107	1275.148
1.670	1.659	-0.023	-0.043	1275.120
1.680	1.688	-0.005	-0.217	1275.087
1.690	1.544	0.011	-0.348	1275.033
1.700	1.196	0.017	-0.381	1274.946
1.710	0.743	0.014	-0.294	1274.822
1.720	0.362	0.008	-0.101	1274.670
1.730	0.212	0.004	0.149	1274.506
1.740	0.331	0.007	0.386	1274.357
1.750	0.625	0.012	0.543	1274.244
1.760	0.918	0.013	0.573	1274.184
1.770	1.056	0.005	0.467	1274.181
1.780	1.008	-0.008	0.258	1274.225
1.790	0.875	-0.020	0.008	1274.295
1.800	0.808	-0.023	-0.211	1274.366
1.810	0.877	-0.015	-0.342	1274.416
1.820	1.025	-0.001	-0.360	1274.433
1.830	1.125	0.011	-0.271	1274.415
1.840	1.074	0.016	-0.114	1274.368
1.850	0.848	0.011	0.056	1274.306
1.860	0.531	0.001	0.182	1274.246
1.870	0.281	-0.006	0.221	1274.201
1.880	0.222	-0.004	0.165	1274.177
1.890	0.333	0.008	0.039	1274.171
1.900	0.445	0.024	-0.105	1274.169
1.910	0.360	0.033	-0.207	1274.158
1.920	0.026	0.032	-0.229	1274.127
1.930	-0.442	0.021	-0.155	1274.076
1.940	-0.826	0.009	0.000	1274.011
1.950	-0.921	0.002	0.197	1273.946
1.960	-0.639	0.005	0.381	1273.900
1.970	-0.087	0.015	0.494	1273.891
1.980	0.466	0.023	0.496	1273.931
1.990	0.760	0.018	0.381	1274.019
2.000	0.721	0.001	0.180	1274.146
2.010	0.518	-0.018	-0.051	1274.290
2.020	0.453	-0.025	-0.242	1274.429
2.030	0.723	-0.014	-0.343	1274.544
2.040	1.217	0.005	-0.337	1274.624
2.050	1.627	0.017	-0.239	1274.668
2.060	1.680	0.012	-0.095	1274.687
2.070	1.348	-0.007	0.042	1274.693
2.080	0.898	-0.025	0.123	1274.702
2.090	0.699	-0.030	0.122	1274.722
2.100	0.963	-0.018	0.045	1274.754
2.110	1.485	-0.006	-0.075	1274.790
2.120	1.829	-0.001	-0.192	1274.819
2.130	1.709	0.002	-0.264	1274.828
2.140	1.174	0.007	-0.266	1274.812
2.150	0.601	0.015	-0.191	1274.770
2.160	0.342	0.021	-0.066	1274.711
2.170	0.506	0.018	0.078	1274.646
2.180	0.992	0.007	0.203	1274.588
2.190	1.529	-0.009	0.273	1274.548
2.200	1.816	-0.021	0.266	1274.533
2.210	1.734	-0.024	0.187	1274.545
2.220	1.420	-0.019	0.059	1274.575
2.230	1.192	-0.014	-0.076	1274.611
2.240	1.275	-0.013	-0.178	1274.638
2.250	1.610	-0.017	-0.220	1274.649
2.260	1.925	-0.020	-0.197	1274.637
2.270	1.974	-0.018	-0.123	1274.605
2.280	1.700	-0.013	-0.030	1274.560
2.290	1.256	-0.006	0.052	1274.509
2.300	0.860	-0.002	0.095	1274.462
2.310	0.704	-0.002	0.086	1274.421
2.320	0.812	-0.005	0.029	1274.388
2.330	1.037	-0.008	-0.056	1274.357
2.340	1.130	-0.004	-0.139	1274.321
2.350	0.890	0.005	-0.186	1274.270
2.360	0.340	0.015	-0.174	1274.201
2.370	-0.253	0.020	-0.097	1274.114
2.380	-0.548	0.016	0.027	1274.017
2.390	-0.374	0.006	0.166	1273.922
2.400	0.130	-0.003	0.283	1273.844
2.410	0.595	-0.004	0.348	1273.794
2.420	0.723	0.002	0.345	1273.776
2.430	0.481	0.010	0.279	1273.791
2.440	0.080	0.013	0.171	1273.834
2.450	-0.171	0.008	0.050	1273.894
2.460	-0.051	-0.005	-0.050	1273.960
2.470	0.427	-0.017	-0.105	1274.023
2.480	0.975	-0.019	-0.105	1274.076
2.490	1.218	-0.008	-0.063	1274.116
2.500	0.998	0.010	-0.003	1274.148
2.510	0.473	0.024	0.049	1274.177
2.520	-0.016	0.026	0.069	1274.209
2.530	-0.154	0.017	0.050	1274.246
2.540	0.162	0.003	-0.004	1274.288
2.550	0.739	-0.005	-0.075	1274.330
2.560	1.153	-0.000	-0.136	1274.364
2.570	1.041	0.011	-0.161	1274.384
2.580	0.407	0.013	-0.131	1274.387
2.590	-0.256	-0.002	-0.051	1274.376
2.600	-0.434	-0.027	0.061	1274.361
2.610	-0.007	-0.045	0.177	1274.352
2.620	0.711	-0.043	0.265	1274.361
2.630	1.262	-0.024	0.301	1274.394
2.640	1.406	-0.005	0.277	1274.456
2.650	1.225	0.004	0.200	1274.543
2.660	0.939	-0.004	0.089	1274.649
2.670	0.830	-0.023	-0.028	1274.763
2.680	1.025	-0.041	-0.123	1274.874
2.690	1.426	-0.046	-0.177	1274.974
2.700	1.799	-0.036	-0.184	1275.057
2.710	1.909	-0.020	-0.149	1275.122
2.720	1.670	-0.012	-0.090	1275.170
2.730	1.204	-0.023	-0.032	1275.209
2.740	0.801	-0.050	0.006	1275.243
2.750	0.708	-0.079	0.013	1275.278
2.760	0.902	-0.093	-0.006	1275.313
2.770	1.140	-0.088	-0.036	1275.349
2.780	1.164	-0.068	-0.059	1275.381
2.790	0.856	-0.046	-0.057	1275.407
2.800	0.312	-0.035	-0.018	1275.429
2.810	-0.189	-0.039	0.055	1275.449
2.820	-0.325	-0.050	0.147	1275.474
2.830	-0.001	-0.054	0.234	1275.514
2.840	0.526	-0.043	0.289	1275.576
2.850	0.911	-0.023	0.296	1275.666
2.860	0.932	-0.008	0.251	1275.784
2.870	0.610	-0.008	0.165	1275.927
2.880	0.192	-0.026	0.061	1276.087
2.890	-0.021	-0.052	-0.032	1276.253
2.900	0.134	-0.070	-0.090	1276.418
2.910	0.552	-0.070	-0.097	1276.574
2.920	0.898	-0.056	-0.055	1276.720
2.930	0.863	-0.040	0.019	1276.860
2.940	0.403	-0.034	0.099	1277.001
2.950	-0.195	-0.037	0.159	1277.151
2.960	-0.546	-0.039	0.186	1277.316
2.970	-0.475	-0.031	0.177	1277.501
2.980	-0.090	-0.009	0.140	1277.702
2.990	0.301	0.016	0.093	1277.918
3.000	0.379	0.032	0.055	1278.144
3.010	0.038	0.029	0.042	1278.376
3.020	-0.513	0.006	0.060	1278.612
3.030	-0.867	-0.021	0.103	1278.854
3.040	-0.722	-0.036	0.153	1279.106
3.050	-0.127	-0.029	0.191	1279.373
3.060	0.526	-0.008	0.198	1279.659
3.070	0.788	0.007	0.167	1279.965
3.080	0.535	0.004	0.105	1280.288
3.090	0.087	-0.015	0.029	1280.621
3.100	-0.110	-0.031	-0.040	1280.958
3.110	0.183	-0.028	-0.083	1281.291
3.120	0.792	-0.006	-0.092	1281.616
3.130	1.304	0.019	-0.070	1281.934
3.140	1.407	0.032	-0.027	1282.246
3.150	1.053	0.023	0.019	1282.557
3.160	0.492	-0.000	0.055	1282.870
3.170	0.104	-0.021	0.068	1283.190
3.180	0.160	-0.025	0.053	1283.517
3.190	0.631	-0.008	0.016	1283.849
3.200	1.158	0.019	-0.032	1284.184
3.210	1.311	0.036	-0.074	1284.519
3.220	0.929	0.029	-0.096	1284.850
3.230	0.303	0.009	-0.091	1285.173
3.240	-0.124	-0.005	-0.063	1285.489
3.250	-0.059	0.005	-0.022	1285.799
3.260	0.464	0.042	0.016	1286.106
3.270	1.094	0.099	0.037	1286.415
3.280	1.388	0.156	0.034	1286.731
3.290	1.069	0.187	0.010	1287.053
3.300	0.475	0.164	-0.022	1287.379
3.310	0.090	0.060	-0.048	1287.705
3.320	0.114	-0.051	-0.059	1288.027
3.330	0.461	-0.075	-0.051	1288.343
3.340	0.858	0.018	-0.026	1288.656
3.350	0.991	0.165	0.006	1288.969
3.360	0.732	0.259	0.036	1289.284
3.370	0.273	0.234	0.051	1289.605
3.380	-0.113	0.124	0.046	1289.932
3.390	-0.221	0.019	0.021	1290.263
3.400	-0.035	-0.012	-0.020	1290.595
3.410	0.225	0.046	-0.066	1290.925
3.420	0.333	0.147	-0.106	1291.249
3.430	0.190	0.213	-0.129	1291.563
3.440	-0.172	0.308	-0.129	1291.866
3.450	-0.493	0.449	-0.106	1292.155
3.460	-0.558	0.463	-0.068	1292.433
3.470	-0.387	0.288	-0.025	1292.702
3.480	-0.092	-0.006	0.011	1292.968
3.490	0.127	-0.282	0.033	1293.235
3.500	0.130	-0.392	0.037	1293.504
3.510	-0.003	-0.298	0.028	1293.778
3.520	-0.144	-0.110	0.013	1294.054
3.530	-0.139	0.026	-0.002	1294.331
3.540	0.053	0.022	-0.010	1294.608
3.550	0.278	-0.080	-0.012	1294.884
3.560	0.434	-0.153	-0.010	1295.160
3.570	0.478	-0.135	-0.011	1295.436
3.580	0.424	-0.040	-0.019	1295.713
3.590	0.376	0.084	-0.036	1295.989
3.600	0.415	0.142	-0.065	1296.262
3.610	0.525	0.109	-0.101	1296.529
3.620	0.678	0.017	-0.139	1296.788
3.630	0.775	-0.076	-0.173	1297.035
3.640	0.805	-0.129	-0.199	1297.268
3.650	0.811	-0.134	-0.213	1297.485
3.660	0.792	-0.121	-0.214	1297.683
3.670	0.834	-0.126	-0.206	1297.862
3.680	0.902	-0.156	-0.194	1298.025
3.690	0.966	-0.204	-0.180	1298.174
3.700	1.026	-0.235	-0.169	1298.306
3.710	1.038	-0.227	-0.162	1298.428
3.720	1.029	-0.183	-0.159	1298.537
3.730	1.040	-0.126	-0.159	1298.634
3.740	1.039	-0.077	-0.162	1298.720
3.750	1.059	-0.052	-0.167	1298.793
3.760	1.081	-0.040	-0.173	1298.856
3.770	1.071	-0.037	-0.181	1298.905
3.780	1.037	-0.032	-0.189	1298.941
3.790	0.967	-0.020	-0.199	1298.962
3.800	0.888	-0.017	-0.210	1298.964
3.810	0.822	-0.027	-0.219	1298.951
3.820	0.755	-0.052	-0.225	1298.919
3.830	0.684	-0.096	-0.224	1298.868
3.840	0.590	-0.147	-0.215	1298.797
3.850	0.446	-0.179	-0.192	1298.706
3.860	0.262	-0.162	-0.153	1298.598
3.870	0.050	-0.066	-0.097	1298.476
3.880	-0.176	0.082	-0.023	1298.344
3.890	-0.357	0.208	0.062	1298.210
3.900	-0.477	0.245	0.147	1298.081
3.910	-0.539	0.190	0.218	1297.966
3.920	-0.549	0.084	0.259	1297.870
3.930	-0.551	-0.006	0.262	1297.798
3.940	-0.560	-0.005	0.218	1297.754
3.950	-0.568	0.070	0.143	1297.727
3.960	-0.607	0.166	0.055	1297.711
3.970	-0.649	0.244	-0.030	1297.698
3.980	-0.686	0.271	-0.098	1297.680
3.990	-0.720	0.243	-0.136	1297.652
4.000	-0.738	0.197	-0.141	1297.609
4.010	-0.749	0.166	-0.118	1297.551
4.020	-0.784	0.178	-0.075	1297.480
4.030	-0.809	0.207	-0.030	1297.401
4.040	-0.842	0.215	0.011	1297.319
4.050	-0.868	0.187	0.043	1297.237
4.060	-0.869	0.121	0.067	1297.157
4.070	-0.878	0.041	0.088	1297.082
4.080	-0.874	-0.010	0.110	1297.016
4.090	-0.845	-0.019	0.136	1296.959
4.100	-0.806	0.004	0.164	1296.916
4.110	-0.722	0.036	0.189	1296.887
4.120	-0.622	0.049	0.204	1296.876
4.130	-0.519	0.048	0.204	1296.884
4.140	-0.389	0.243	0.187	1296.909
4.150	-0.258	0.309	0.151	1296.952
4.160	-0.123	0.092	0.100	1297.009
4.170	0.019	-0.253	0.040	1297.076
4.180	0.148	-0.451	-0.023	1297.147
4.190	0.276	-0.346	-0.079	1297.215
4.200	0.385	-0.088	-0.124	1297.275
4.210	0.478	0.108	-0.154	1297.323
4.220	0.559	0.137	-0.170	1297.359
4.230	0.622	-0.007	-0.173	1297.380
4.240	0.685	-0.206	-0.166	1297.385
4.250	0.740	-0.307	-0.154	1297.377
4.260	0.783	-0.241	-0.140	1297.355
4.270	0.816	-0.066	-0.128	1297.322
4.280	0.814	0.095	-0.119	1297.279
4.290	0.800	0.132	-0.112	1297.226
4.300	0.773	0.050	-0.105	1297.165
4.310	0.722	-0.064	-0.096	1297.097
4.320	0.697	-0.123	-0.083	1297.022
4.330	0.669	-0.071	-0.066	1296.941
4.340	0.635	0.054	-0.046	1296.856
4.350	0.623	0.166	-0.027	1296.768
4.360	0.597	0.183	-0.014	1296.680
4.370	0.594	0.114	-0.010	1296.593
4.380	0.604	0.011	-0.016	1296.506
4.390	0.593	-0.060	-0.034	1296.419
4.400	0.593	-0.031	-0.059	1296.331
4.410	0.570	0.042	-0.085	1296.238
4.420	0.533	0.098	-0.108	1296.138
4.430	0.497	0.100	-0.122	1296.028
4.440	0.444	0.047	-0.125	1295.908
4.450	0.394	-0.013	-0.117	1295.776
4.460	0.346	-0.039	-0.101	1295.634
4.470	0.280	-0.025	-0.081	1295.483
4.480	0.231	0.024	-0.062	1295.325
4.490	0.186	0.059	-0.049	1295.161
4.500	0.148	0.055	-0.040	1294.992
4.510	0.131	0.004	-0.033	1294.820
4.520	0.115	-0.092	-0.024	1294.645
4.530	0.102	-0.186	-0.005	1294.468
4.540	0.079	-0.250	0.027	1294.291
4.550	0.017	-0.284	0.075	1294.116
4.560	-0.045	-0.300	0.136	1293.949
4.570	-0.109	-0.350	0.204	1293.797
4.580	-0.176	-0.456	0.273	1293.664
4.590	-0.234	-0.580	0.334	1293.558
4.600	-0.329	-0.692	0.382	1293.486
4.610	-0.418	-0.705	0.412	1293.453
4.620	-0.480	-0.584	0.422	1293.460
4.630	-0.483	-0.381	0.409	1293.509
4.640	-0.420	-0.168	0.372	1293.598
4.650	-0.320	-0.040	0.313	1293.721
4.660	-0.224	-0.052	0.238	1293.876
4.670	-0.179	-0.166	0.155	1294.053
4.680	-0.188	-0.301	0.078	1294.247
4.690	-0.217	-0.384	0.018	1294.447
4.700	-0.239	-0.433	-0.012	1294.650
4.710	-0.239	-0.491	-0.007	1294.851
4.720	-0.251	-0.585	0.035	1295.052
4.730	-0.325	-0.711	0.110	1295.256
4.740	-0.460	-0.809	0.208	1295.472
4.750	-0.627	-0.841	0.320	1295.708
4.760	-0.777	-0.804	0.434	1295.975
4.770	-0.857	-0.714	0.537	1296.285
4.780	-0.846	-0.604	0.619	1296.648
4.790	-0.744	-0.477	0.670	1297.072
4.800	-0.590	-0.349	0.683	1297.562
4.810	-0.431	-0.246	0.653	1298.118
4.820	-0.299	-0.183	0.585	1298.739
4.830	-0.208	-0.160	0.487	1299.417
4.840	-0.151	-0.148	0.372	1300.144
4.850	-0.114	-0.115	0.258	1300.907
4.860	-0.079	-0.028	0.161	1301.697
4.870	-0.053	0.107	0.095	1302.504
4.880	-0.045	0.246	0.065	1303.321
4.890	-0.070	0.333	0.068	1304.145
4.900	-0.135	0.351	0.095	1304.976
4.910	-0.212	0.324	0.137	1305.818
4.920	-0.321	0.260	0.182	1306.677
4.930	-0.450	0.223	0.225	1307.556
4.940	-0.581	0.240	0.267	1308.458
4.950	-0.717	0.281	0.310	1309.386
4.960	-0.883	0.289	0.360	1310.346
4.970	-1.046	0.214	0.420	1311.343
4.980	-1.172	0.050	0.490	1312.384
4.990	-1.242	-0.136	0.562	1313.475
5.000	-1.192	-0.258	0.620	1314.623
5.010	-1.009	-0.246	0.647	1315.834
5.020	-0.768	-0.088	0.623	1317.109
5.030	-0.536	0.127	0.540	1318.446
5.040	-0.364	0.296	0.405	1319.837
5.050	-0.299	0.369	0.235	1321.270
5.060	-0.298	0.377	0.061	1322.729
5.070	-0.303	0.435	-0.084	1324.195
5.080	-0.287	0.649	-0.172	1325.655
5.090	-0.246	1.011	-0.186	1327.101
5.100	-0.225	1.398	-0.129	1328.532
5.110	-0.278	1.639	-0.018	1329.955
5.120	-0.381	1.611	0.116	1331.382
5.130	-0.508	1.323	0.241	1332.825
5.140	-0.619	0.893	0.328	1334.296
5.150	-0.671	0.489	0.361	1335.803
5.160	-0.698	0.247	0.336	1337.348
5.170	-0.710	0.213	0.266	1338.930
5.180	-0.705	0.291	0.178	1340.540
5.190	-0.704	0.371	0.096	1342.165
5.200	-0.662	0.413	0.034	1343.803
5.210	-0.529	0.399	-0.003	1345.446
5.220	-0.344	0.363	-0.019	1347.091
5.230	-0.126	0.363	-0.030	1348.736
5.240	0.114	0.423	-0.051	1350.379
5.250	0.304	0.545	-0.095	1352.018
5.260	0.439	0.682	-0.162	1353.648
5.270	0.528	0.760	-0.244	1355.260
5.280	0.584	0.678	-0.318	1356.849
5.290	0.656	0.427	-0.370	1358.408
5.300	0.744	0.447	-0.386	1359.931
5.310	0.822	0.729	-0.363	1361.417
5.320	0.858	1.046	-0.311	1362.867
5.330	0.871	1.101	-0.249	1364.287
5.340	0.882	0.811	-0.196	1365.684
5.350	0.895	0.335	-0.173	1367.061
5.360	0.923	-0.032	-0.195	1368.417
5.370	0.957	-0.136	-0.253	1369.750
5.380	0.939	-0.037	-0.331	1371.055
5.390	0.911	0.064	-0.408	1372.323
5.400	0.874	0.032	-0.465	1373.549
5.410	0.809	-0.141	-0.491	1374.728
5.420	0.768	-0.395	-0.481	1375.855
5.430	0.768	-0.608	-0.442	1376.932
5.440	0.743	-0.714	-0.387	1377.966
5.450	0.763	-0.732	-0.328	1378.960
5.460	0.811	-0.716	-0.277	1379.923
5.470	0.822	-0.717	-0.242	1380.857
5.480	0.835	-0.753	-0.224	1381.765
5.490	0.841	-0.800	-0.222	1382.648
5.500	0.825	-0.815	-0.228	1383.504
5.510	0.840	-0.773	-0.234	1384.333
5.520	0.811	-0.702	-0.235	1385.135
5.530	0.766	-0.632	-0.231	1385.913
5.540	0.725	-0.581	-0.227	1386.667
5.550	0.647	-0.541	-0.228	1387.399
5.560	0.559	-0.492	-0.242	1388.106
5.570	0.474	-0.432	-0.279	1388.783
5.580	0.339	-0.370	-0.337	1389.431
5.590	0.222	-0.316	-0.411	1390.046
5.600	0.106	-0.285	-0.494	1390.619
5.610	-0.021	-0.290	-0.573	1391.140
5.620	-0.131	-0.355	-0.631	1391.597
5.630	-0.267	-0.466	-0.662	1391.990
5.640	-0.392	-0.604	-0.662	1392.320
5.650	-0.491	-0.759	-0.634	1392.592
5.660	-0.603	-0.912	-0.581	1392.801
5.670	-0.711	-1.042	-0.510	1392.953
5.680	-0.810	-1.149	-0.431	1393.055
5.690	-0.897	-1.204	-0.354	1393.115
5.700	-0.939	-1.145	-0.285	1393.141
5.710	-0.922	-0.896	-0.226	1393.141
5.720	-0.856	-0.452	-0.171	1393.119
5.730	-0.756	0.108	-0.114	1393.081
5.740	-0.646	0.603	-0.051	1393.035
5.750	-0.568	0.859	0.017	1392.987
5.760	-0.506	0.819	0.081	1392.943
5.770	-0.445	0.544	0.126	1392.911
5.780	-0.366	0.193	0.136	1392.892
5.790	-0.246	-0.046	0.100	1392.888
5.800	-0.131	-0.087	0.010	1392.893
5.810	-0.043	0.039	-0.126	1392.899
5.820	0.016	0.225	-0.293	1392.891
5.830	0.029	0.380	-0.466	1392.855
5.840	0.043	0.506	-0.616	1392.774
5.850	0.084	0.687	-0.716	1392.633
5.860	0.114	1.000	-0.746	1392.423
5.870	0.173	1.418	-0.700	1392.141
5.880	0.218	1.817	-0.586	1391.794
5.890	0.230	2.054	-0.421	1391.394
5.900	0.294	2.036	-0.231	1390.957
5.910	0.380	1.804	-0.045	1390.504
5.920	0.510	1.485	0.116	1390.050
5.930	0.634	1.216	0.236	1389.610
5.940	0.692	1.060	0.307	1389.195
5.950	0.731	0.987	0.328	1388.812
5.960	0.754	0.925	0.305	1388.464
5.970	0.779	0.839	0.251	1388.148
5.980	0.842	0.747	0.175	1387.858
5.990	0.886	0.698	0.090	1387.587
6.000	0.895	0.711	0.005	1387.326
6.010	0.835	0.741	-0.071	1387.066
6.020	0.689	0.712	-0.132	1386.801
6.030	0.513	0.545	-0.167	1386.523
6.040	0.333	0.237	-0.169	1386.230
6.050	0.173	-0.108	-0.134	1385.920
6.060	0.048	-0.366	-0.068	1385.597
6.070	-0.071	-0.445	0.019	1385.267
6.080	-0.194	-0.359	0.110	1384.938
6.090	-0.334	-0.231	0.181	1384.622
6.100	-0.473	-0.182	0.223	1384.326
6.110	-0.619	-0.244	0.235	1384.052
6.120	-0.745	-0.380	0.219	1383.800
6.130	-0.840	-0.511	0.182	1383.570
6.140	-0.906	-0.567	0.133	1383.360
6.150	-0.917	-0.512	0.083	1383.165
6.160	-0.876	-0.387	0.041	1382.979
6.170	-0.806	-0.269	0.008	1382.800
6.180	-0.771	-0.211	-0.016	1382.624
